"Sample_ID","sample_type","loc.asv","ASV","reads","extraction_ID","pcr_replicate","alt_ID","tank_ID"
"e02154-A","sample","3.ASV13","ASV13",89,"e02154","A","226","3"
"e02154-A","sample","3.ASV16","ASV16",0,"e02154","A","226","3"
"e02154-A","sample","3.ASV22","ASV22",11,"e02154","A","226","3"
"e02167-A","sample","3.ASV2","ASV2",16577,"e02167","A","404","3"
"e02167-A","sample","3.ASV4","ASV4",2214,"e02167","A","404","3"
"e02167-A","sample","3.ASV13","ASV13",136,"e02167","A","404","3"
"e02167-A","sample","3.ASV16","ASV16",0,"e02167","A","404","3"
"e02167-A","sample","3.ASV22","ASV22",9,"e02167","A","404","3"
"e02143-B","sample","3.ASV2","ASV2",17982,"e02143","B","62","3"
"e02143-B","sample","3.ASV4","ASV4",3423,"e02143","B","62","3"
"e02143-B","sample","3.ASV13","ASV13",293,"e02143","B","62","3"
"e02143-B","sample","3.ASV16","ASV16",0,"e02143","B","62","3"
"e02143-B","sample","3.ASV22","ASV22",0,"e02143","B","62","3"
"e02154-B","sample","3.ASV2","ASV2",42679,"e02154","B","226","3"
"e02154-B","sample","3.ASV4","ASV4",7105,"e02154","B","226","3"
"e02154-B","sample","3.ASV13","ASV13",405,"e02154","B","226","3"
"e02154-B","sample","3.ASV16","ASV16",20,"e02154","B","226","3"
"e02154-B","sample","3.ASV22","ASV22",2,"e02154","B","226","3"
"e02167-B","sample","3.ASV2","ASV2",21400,"e02167","B","404","3"
"e02167-B","sample","3.ASV4","ASV4",5042,"e02167","B","404","3"
"e02167-B","sample","3.ASV13","ASV13",431,"e02167","B","404","3"
"e02167-B","sample","3.ASV16","ASV16",5,"e02167","B","404","3"
"e02167-B","sample","3.ASV22","ASV22",4,"e02167","B","404","3"
"e02143-C","sample","3.ASV2","ASV2",8730,"e02143","C","62","3"
"e02143-C","sample","3.ASV4","ASV4",1069,"e02143","C","62","3"
"e02143-C","sample","3.ASV13","ASV13",0,"e02143","C","62","3"
"e02143-C","sample","3.ASV16","ASV16",0,"e02143","C","62","3"
"e02143-C","sample","3.ASV22","ASV22",0,"e02143","C","62","3"
"e02154-C","sample","3.ASV2","ASV2",15972,"e02154","C","226","3"
"e02154-C","sample","3.ASV4","ASV4",2401,"e02154","C","226","3"
"e02154-C","sample","3.ASV13","ASV13",204,"e02154","C","226","3"
"e02154-C","sample","3.ASV16","ASV16",0,"e02154","C","226","3"
"e02154-C","sample","3.ASV22","ASV22",9,"e02154","C","226","3"
"e02167-C","sample","3.ASV2","ASV2",20760,"e02167","C","404","3"
"e02167-C","sample","3.ASV4","ASV4",2860,"e02167","C","404","3"
"e02167-C","sample","3.ASV13","ASV13",158,"e02167","C","404","3"
"e02167-C","sample","3.ASV16","ASV16",52,"e02167","C","404","3"
"e02167-C","sample","3.ASV22","ASV22",1,"e02167","C","404","3"
"e02376-A","sample","30.ASV1","ASV1",7802,"e02376","A","437","30"
"e02376-A","sample","30.ASV2","ASV2",16497,"e02376","A","437","30"
"e02376-A","sample","30.ASV11","ASV11",0,"e02376","A","437","30"
"e02376-A","sample","30.ASV20","ASV20",0,"e02376","A","437","30"
"e02384-A","sample","30.ASV1","ASV1",9471,"e02384","A","411","30"
"e02384-A","sample","30.ASV2","ASV2",20276,"e02384","A","411","30"
"e02384-A","sample","30.ASV11","ASV11",0,"e02384","A","411","30"
"e02384-A","sample","30.ASV20","ASV20",0,"e02384","A","411","30"
"e02385-A","sample","30.ASV1","ASV1",8271,"e02385","A","270","30"
"e02385-A","sample","30.ASV2","ASV2",14609,"e02385","A","270","30"
"e02385-A","sample","30.ASV11","ASV11",0,"e02385","A","270","30"
"e02385-A","sample","30.ASV20","ASV20",0,"e02385","A","270","30"
"e02376-B","sample","30.ASV1","ASV1",12059,"e02376","B","437","30"
"e02376-B","sample","30.ASV2","ASV2",26474,"e02376","B","437","30"
"e02376-B","sample","30.ASV11","ASV11",477,"e02376","B","437","30"
"e02376-B","sample","30.ASV20","ASV20",382,"e02376","B","437","30"
"e02384-B","sample","30.ASV1","ASV1",10659,"e02384","B","411","30"
"e02384-B","sample","30.ASV2","ASV2",22439,"e02384","B","411","30"
"e02384-B","sample","30.ASV11","ASV11",451,"e02384","B","411","30"
"e02384-B","sample","30.ASV20","ASV20",423,"e02384","B","411","30"
"e02385-B","sample","30.ASV1","ASV1",13443,"e02385","B","270","30"
"e02385-B","sample","30.ASV2","ASV2",24446,"e02385","B","270","30"
"e02385-B","sample","30.ASV11","ASV11",655,"e02385","B","270","30"
"e02385-B","sample","30.ASV20","ASV20",393,"e02385","B","270","30"
"e02376-C","sample","30.ASV1","ASV1",7232,"e02376","C","437","30"
"e02376-C","sample","30.ASV2","ASV2",18131,"e02376","C","437","30"
"e02376-C","sample","30.ASV11","ASV11",0,"e02376","C","437","30"
"e02376-C","sample","30.ASV20","ASV20",0,"e02376","C","437","30"
"e02384-C","sample","30.ASV1","ASV1",6734,"e02384","C","411","30"
"e02384-C","sample","30.ASV2","ASV2",15794,"e02384","C","411","30"
"e02384-C","sample","30.ASV11","ASV11",0,"e02384","C","411","30"
"e02384-C","sample","30.ASV20","ASV20",0,"e02384","C","411","30"
"e02385-C","sample","30.ASV1","ASV1",7628,"e02385","C","270","30"
"e02385-C","sample","30.ASV2","ASV2",14805,"e02385","C","270","30"
"e02385-C","sample","30.ASV11","ASV11",0,"e02385","C","270","30"
"e02385-C","sample","30.ASV20","ASV20",0,"e02385","C","270","30"
"e02226-A","sample","32.ASV1","ASV1",13507,"e02226","A","340","32"
"e02226-A","sample","32.ASV2","ASV2",1378,"e02226","A","340","32"
"e02226-A","sample","32.ASV6","ASV6",7537.34139053821,"e02226","A","340","32"
"e02226-A","sample","32.ASV9","ASV9",4437,"e02226","A","340","32"
"e02226-A","sample","32.ASV16","ASV16",14,"e02226","A","340","32"
"e02226-A","sample","32.ASV18","ASV18",1033,"e02226","A","340","32"
"e02226-A","sample","32.ASV47","ASV47",468,"e02226","A","340","32"
"e02226-A","sample","32.ASV157","ASV157",0,"e02226","A","340","32"
"e02226-A","sample","32.ASV278","ASV278",0,"e02226","A","340","32"
