Sample_ID,extraction_ID,pcr_replicate,project,alt_ID,tank_ID,station_ID,sample_type,extraction_plate,extraction_well,DNA_conc,MiSeq_run,collection_year,collection_month,collection_day,location1,longitude,latitude,depth,time_of_day
e02220_B,e02220,B,aquaria,79,72,NA,sample,19_2023,H2,12.923,A,2023,1,23,NA,NA,NA,NA,NA
e02131_B,e02131,B,aquaria,495,11,NA,sample,18_2023,D3,3.517,A,2023,3,27,NA,NA,NA,NA,NA
e02222_B,e02222,B,aquaria,94,72,NA,sample,19_2023,B3,11.216,A,2023,1,23,NA,NA,NA,NA,NA
e02133_B,e02133,B,aquaria,141,86,NA,sample,18_2023,F3,3.295,A,2023,3,17,NA,NA,NA,NA,NA
e02224_B,e02224,B,aquaria,10,72,NA,sample,19_2023,D3,12.142,A,2023,1,23,NA,NA,NA,NA,NA
e02135_B,e02135,B,aquaria,194,T,NA,field_blank,18_2023,H3,0.68,A,2023,3,24,NA,NA,NA,NA,NA
e02226_B,e02226,B,aquaria,340,32,NA,sample,19_2023,F3,31.5,A,2023,1,23,NA,NA,NA,NA,NA
e02137_B,e02137,B,aquaria,118,T,NA,field_blank,18_2023,B4,0.477,A,2023,3,27,NA,NA,NA,NA,NA
e02228_B,e02228,B,aquaria,124,24,NA,sample,19_2023,H3,2.532,A,2023,1,23,NA,NA,NA,NA,NA
e02139_B,e02139,B,aquaria,377,11,NA,sample,18_2023,D4,3.169,A,2023,3,27,NA,NA,NA,NA,NA
e02230_B,e02230,B,aquaria,NA,NA,NA,extraction_blank,19_2023,B4,0.251,A,NA,NA,NA,NA,NA,NA,NA,NA
e02141_B,e02141,B,aquaria,491,17,NA,sample,18_2023,F4,2.525,A,2023,3,20,NA,NA,NA,NA,NA
e02231_B,e02231,B,aquaria,379,24,NA,sample,19_2023,C4,3.014,A,2023,1,23,NA,NA,NA,NA,NA
e02143_B,e02143,B,aquaria,62,3,NA,sample,18_2023,H4,1.928,A,2023,3,8,NA,NA,NA,NA,NA
e02233_B,e02233,B,aquaria,106,24,NA,sample,19_2023,E4,3.254,A,2023,1,23,NA,NA,NA,NA,NA
e02145_B,e02145,B,aquaria,NA,NA,NA,extraction_blank,18_2023,B5,0.226,A,NA,NA,NA,NA,NA,NA,NA,NA
e02146_B,e02146,B,aquaria,462,86,NA,sample,18_2023,C5,2.332,A,2023,3,17,NA,NA,NA,NA,NA
e02235_B,e02235,B,aquaria,351,32,NA,sample,19_2023,G4,29.854,A,2023,1,23,NA,NA,NA,NA,NA
e02148_B,e02148,B,aquaria,229,T,NA,field_blank,18_2023,E5,0.534,A,2023,3,20,NA,NA,NA,NA,NA
e02237_B,e02237,B,aquaria,313,32,NA,sample,19_2023,A5,31.5,A,2023,1,23,NA,NA,NA,NA,NA
e02150_B,e02150,B,aquaria,481,17,NA,sample,18_2023,G5,2.369,A,2023,3,20,NA,NA,NA,NA,NA
e02239_B,e02239,B,aquaria,395,T,NA,field_blank,19_2023,C5,0.769,A,2023,1,23,NA,NA,NA,NA,NA
e02152_B,e02152,B,aquaria,408,17,NA,sample,18_2023,A6,3.061,A,2023,3,20,NA,NA,NA,NA,NA
e02241_B,e02241,B,aquaria,212,43,NA,sample,19_2023,E5,7.709,A,2022,12,6,NA,NA,NA,NA,NA
e02154_B,e02154,B,aquaria,226,3,NA,sample,18_2023,C6,1.949,A,2023,3,8,NA,NA,NA,NA,NA
e02243_B,e02243,B,aquaria,301,43,NA,sample,19_2023,G5,6.708,A,2022,12,6,NA,NA,NA,NA,NA
e02156_B,e02156,B,aquaria,370,86,NA,sample,18_2023,E6,2.33,A,2023,3,17,NA,NA,NA,NA,NA
e02245_B,e02245,B,aquaria,72,43,NA,sample,19_2023,A6,5.117,A,2022,12,6,NA,NA,NA,NA,NA
e02158_B,e02158,B,aquaria,391,41,NA,sample,18_2023,G6,4.61,A,2023,3,17,NA,NA,NA,NA,NA
NC1_B,NC,B,aquaria,NA,NA,NA,PCR_blank,NA,H6,0.217,A,NA,NA,NA,NA,NA,NA,NA,NA
e02247_B,e02247,B,aquaria,NA,NA,NA,extraction_blank,19_2023,C6,0.235,A,NA,NA,NA,NA,NA,NA,NA,NA
e02160_B,e02160,B,aquaria,417,41,NA,sample,18_2023,B7,5.474,A,2023,3,17,NA,NA,NA,NA,NA
e02248_B,e02248,B,aquaria,107,T,NA,field_blank,19_2023,D6,0.673,A,2022,12,6,NA,NA,NA,NA,NA
e02162_B,e02162,B,aquaria,NA,NA,NA,extraction_blank,18_2023,D7,0.212,A,NA,NA,NA,NA,NA,NA,NA,NA
e02163_B,e02163,B,aquaria,358,41,NA,sample,18_2023,E7,5.78,A,2023,3,17,NA,NA,NA,NA,NA
e02199_B,e02199,B,aquaria,89,67,NA,sample,18_2023,A12,10.594,A,2023,2,1,NA,NA,NA,NA,NA
e02165_B,e02165,B,aquaria,385,59,NA,sample,18_2023,G7,1.297,A,2023,3,8,NA,NA,NA,NA,NA
e02201_B,e02201,B,aquaria,388,67,NA,sample,18_2023,C12,16.945,A,2023,2,1,NA,NA,NA,NA,NA
e02167_B,e02167,B,aquaria,404,3,NA,sample,18_2023,A8,1.878,A,2023,3,8,NA,NA,NA,NA,NA
e02203_B,e02203,B,aquaria,368,67,NA,sample,18_2023,E12,20.698,A,2023,2,1,NA,NA,NA,NA,NA
e02169_B,e02169,B,aquaria,52,T,NA,field_blank,18_2023,C8,0.506,A,2023,3,17,NA,NA,NA,NA,NA
